vidId,vidTitle,vidUrl,viewCount,likeCount,chanName,chanUrl,subsCount,vidCount,category;;;;;
2s8a6voo81s,AKU MENEMUKAN M4Y4T YANG TERDAMPAR DI PANTAI‼️,https://www.youtube.com/watch?v=2s8a6voo81s,1461624,39339,Fulday,https://www.youtube.com/channel/UC9mWFyZ012ttTrws7LLKuMg,2330000,1118,1;;;;;
bIUuHpZfXkk,ONE PIECE IKUT SQUID GAME? #shorts #shortsvideo #youtubeshorts #onepiece #luffy,https://www.youtube.com/watch?v=bIUuHpZfXkk,16930022,587143,Arfandi Moko,https://www.youtube.com/channel/UCSErGXpT1__vy6KRv6J9EWw,3700000,1636,1;;;;;
w17FHB8lMVM,LEGO NINJAGO | Season 3 Episode 6: The Call of the Deep,https://www.youtube.com/watch?v=w17FHB8lMVM,521198,2909,LEGO,https://www.youtube.com/channel/UCP-Ng5SXUEt0VE-TXqRdL6g,16000000,30533,1;;;;;
Rj4Yu9Utdw0,The Greatest Showman | This Is Me (Official Lyric Video),https://www.youtube.com/watch?v=Rj4Yu9Utdw0,85927520,621497,20th Century Studios Indonesia,https://www.youtube.com/channel/UC4UGyeC2JFnrAL6AQH_E4sw,161000,508,1;;;;;
FYT8cs6uwxQ,NUNGGUIN IBU DIDEPAN PAGAR AKHIRNYA 😱🥺,https://www.youtube.com/watch?v=FYT8cs6uwxQ,465893,26121,Tenny TAP TV,https://www.youtube.com/channel/UCfaVlWv2Y7-eEXDL9mO2AIg,3820000,1070,1;;;;;
sc9-zE7YXdE,SpongeBob SquarePants | Kue keberuntungan | Nickelodeon Bahasa,https://www.youtube.com/watch?v=sc9-zE7YXdE,8678136,51258,Nickelodeon Bahasa,https://www.youtube.com/channel/UCTJDdO9klWGpTekswnXreGQ,5820000,990,1;;;;;
fmqmEl-0Gus,THE CROODS: A NEW AGE | Wildest Wildlife Croodimals &quot;Documentary&quot;,https://www.youtube.com/watch?v=fmqmEl-0Gus,3138185,24144,UIP Movies Indonesia,https://www.youtube.com/channel/UC5-keBwD6V0qb9KiMSZO7Vw,82600,945,1;;;
hm-6Hg69v_o,SpongeBob SquarePants | Gelandangan | Nickelodeon Bahasa,https://www.youtube.com/watch?v=hm-6Hg69v_o,18162695,126574,Nickelodeon Bahasa,https://www.youtube.com/channel/UCTJDdO9klWGpTekswnXreGQ,5820000,990,1;;;;;
mjfgxKlG-6s,Kamp Koral | Pelarian Spongebob  | Nickelodeon Bahasa,https://www.youtube.com/watch?v=mjfgxKlG-6s,3067746,21185,Nickelodeon Bahasa,https://www.youtube.com/channel/UCTJDdO9klWGpTekswnXreGQ,5820000,990,1;;;;;
LKQLgPlXePo,Oh No! Buster’s Stuck in the Slimy Green Puddle | Go Buster | Baby Cartoons | Kids Videos | Single,https://www.youtube.com/watch?v=LKQLgPlXePo,2059161,4012,Go Buster - Bus Cartoons & Kids Stories,https://www.youtube.com/channel/UCnEHS4Wa8WOxvQiKX4Vd-5g,2080000,846,1;;;;;
Ts8rVL5gkZM,Mad Dog VS. Jaka Hand To Hand Fight | The Raid: Redemption,https://www.youtube.com/watch?v=Ts8rVL5gkZM,4879007,41533,Piece of the Action,https://www.youtube.com/channel/UCnE0HgZizldIlUkw-05HUgg,948000,718,1;;;;;
pJN-XBzpwlE,Transformers: Rise of the Beasts | Is Your Car a Transformer? (2023 Movie,https://www.youtube.com/watch?v=pJN-XBzpwlE,63648,4216,Paramount Pictures,https://www.youtube.com/channel/UCF9imwPMSGz4Vq1NiTWCC7g,3020000,1638,1;;;;;
sizgMiEqudY,Pertunjukan Bintang Patrick | Bisakah Patrick Membuat Sarapan Sendiri? | Nickelodeon Bahasa,https://www.youtube.com/watch?v=sizgMiEqudY,2868894,18461,Nickelodeon Bahasa,https://www.youtube.com/channel/UCTJDdO9klWGpTekswnXreGQ,5820000,990,1;;;;;
bLceGPDRcqk,Lego Swimming Pool,https://www.youtube.com/watch?v=bLceGPDRcqk,52433311,228792,Alexander Studios,https://www.youtube.com/channel/UCVwl5YBlImOOJm-fO4mu6pA,1200000,47,1;;;;;
hT8hkyPYqFA,Ten in the Bed | Numbers Song | Learn Numbers for Kids | Pandobi Nursery Rhymes &amp; Kids Songs,https://www.youtube.com/watch?v=hT8hkyPYqFA,4372935,14672,Super Pandobi - Nursery Rhymes & Kids Songs,https://www.youtube.com/channel/UC8AJgZ1VbK4TAt1ToKj9Ddg,972000,192,1;;;;
qyXpewHsb8Q,Bocil Gak Mau Mandi,https://www.youtube.com/watch?v=qyXpewHsb8Q,6482119,257452,Rizky Riplay,https://www.youtube.com/channel/UC7GWXKxiy9_AU9TytEh00eg,8510000,510,1;;;;;
lrBf-XR0aSM,BOCIL PENGEN BAU KETEK ?! | Klara Tania #shorts,https://www.youtube.com/watch?v=lrBf-XR0aSM,4760559,134205,Klara Tania,https://www.youtube.com/channel/UC4rHBMP2rGPuFk9F-JlGzbQ,9160000,1586,1;;;;;
LydJfDByUCU,TOP 2 KEMATIAN TRANSFORMERS PALING DRAMATIS !!!,https://www.youtube.com/watch?v=LydJfDByUCU,66453,3930,Admin Waktu,https://www.youtube.com/channel/UCTI4y1kj6XULWwd2auHbbMg,30500,230,1;;;;;
"FlFtt7y6zT0,""Knock Knock, Someone&#39";s Knocking | Safety Tips for Kids | Pandobi Nursery Rhymes &amp;" Kids Songs"",https://www.youtube.com/watch?v=FlFtt7y6zT0,6252982,16916,Super Pandobi - Nursery Rhymes & Kids Songs,https://www.youtube.com/channel/UC8AJgZ1VbK4TAt1ToKj9Ddg,972000,192,1";;;
d5mPdpTM9uI,When Noob Take Revenge With The Death Note 4 | MInecraft Animation #shorts,https://www.youtube.com/watch?v=d5mPdpTM9uI,5183257,245956,MineCZ,https://www.youtube.com/channel/UCewGZGE1lzcWCb_uohQ1BQg,4720000,774,1;;;;;
"5CNQEutg-bQ,""Transformers: Rise of the Beasts | &quot";Car Chase&quot;" Clip - Anthony Ramos, Tobe Nwigwe, Pete Davidson"",https://www.youtube.com/watch?v=5CNQEutg-bQ,73805,4537,Paramount Pictures,https://www.youtube.com/channel/UCF9imwPMSGz4Vq1NiTWCC7g,3020000,1638,1";;;
